name,uri,genres,albums,tracks,last_album_date,first_album_date,popularity,followers,playlist_count,spotify_url,image_320,lastfm_listeners,lastfm_playcount,personal_playcount,lastfm_tags,summary,tour_status,tour_date,tour_coperformers,festival_coperformers
chimaira,spotify:artist:0kO2SRhHlmMIeyJHfHy3c9,"['groove metal', 'metal', 'nu metal', 'metalcore']",14,204,2022-05-20,2000,44,319918,0,https://open.spotify.com/artist/0kO2SRhHlmMIeyJHfHy3c9,https://i.scdn.co/image/ab6761610000517474b511205df44d2200c92dc6,512687,15847167,0,"['metalcore', 'metal', 'groove metal', 'thrash metal', 'seen live']","Chimaira (pronounced /kaɪˈmɪərə/) is an American metal band from Cleveland, Ohio, formed in 1998. The band is a notable member of the New Wave of American Heavy Metal. Their band name is derived from the word Chimera, a monstrous creature in Greek mythology. They play a style of mainly groove metal, with some metalcore, industrial metal, and death metal influences.

Chimaira was formed in 1998 by rhythm guitarist Jason Hager, and vocalist Mark Hunter. <a href=""https://www.last.fm/music/Chimaira"">Read more on Last.fm</a>",upcoming_tour,2025-12-20,set(),Counter()
landmvrks,spotify:artist:6G43CiunIxMwb2tQ12vNP6,"['metalcore', 'deathcore', 'metal']",6,79,2025-04-25,2016-05-10,63,301397,0,https://open.spotify.com/artist/6G43CiunIxMwb2tQ12vNP6,https://i.scdn.co/image/ab67616100005174288a81dd1d1387c0544c56e0,189640,7308732,108,"['metalcore', 'post-hardcore', 'french', 'seen live', 'hardcore']","Marseille (France) based metalcore band, LANDMVRKS was created in 2014.

The band’s founding lineup included singer Florent Salfati, drummer Nicolas Soriano, bassist Rudy Purkart and guitarists Nicolas Exposito and Thomas Lebreton.

They released their first music video “Meaningless” in August 2014 as their first single and month after month they released others music videos as “Empty Place” “Outside and In” and “Winter” featuring Mattéo from the band Novelists. <a href=""https://www.last.fm/music/LANDMVRKS"">Read more on Last.fm</a>",upcoming_tour,2025-10-11,set(),Counter()
wstr,spotify:artist:0ofhRkasSdhp6LUs7tFcF7,"['pop punk', 'emo', 'punk']",3,33,2023-05-26,2017-01-20,48,96557,0,https://open.spotify.com/artist/0ofhRkasSdhp6LUs7tFcF7,https://i.scdn.co/image/ab676161000051744be09e56d320184188a89799,85125,3120564,0,"['pop punk', 'seen live', 'british', 'rock', 'Easycore']","WSTR are an English pop punk band based in Liverpool, England. Originally named ""Waster"", the group discovered a band with the same name from Canada. Because both bands were selling under the same name on iTunes, the Canadian band issued a cease and desist letter. The group ultimately decided to keep the most similar name as possible, removing the vowels, leaving simply ""WSTR"".

Formed in 2015, the band signed with No Sleep Records and released their debut single <a href=""https://www.last.fm/music/WSTR"">Read more on Last.fm</a>",upcoming_tour,2025-09-26,set(),Counter()
"woe, is me",spotify:artist:7AzzsLSrHV9darZnK3RSDN,"['post-hardcore', 'metalcore', 'screamo']",3,37,2012-11-19,2010-08-31,49,243651,0,https://open.spotify.com/artist/7AzzsLSrHV9darZnK3RSDN,https://i.scdn.co/image/ab67616100005174b6532af62e9907e6cabeb3ef,249541,6695082,0,"['post-hardcore', 'electronic', 'screamo', 'experimental', 'hardcore']","Woe, Is Me are a post-hardcore/metalcore band formed in Atlanta, Georgia, United States in 2009.  The band is currently signed to Rise Records and its subsidiary, Velocity Records.  Their debut full-length album, Numbers, was released on August 31, 2010 and charted at #16 on Billboard's Top Heatseekers. Since then, they released an album (Genesis) and an EP (American Dream) before their breakup in late 2013.

The original lineup consisted of Austin Thornton, Kevin Hanson, and Tim Sherrill with Cory Ferris and Ben Ferris. <a href=""https://www.last.fm/music/Woe,+Is+Me"">Read more on Last.fm</a>",not_touring,,set(),Counter()
honey revenge,spotify:artist:1DHMgO3IIYSYPJ6CFyDYnK,['pop punk'],2,28,2024-08-09,2023-06-23,56,128325,0,https://open.spotify.com/artist/1DHMgO3IIYSYPJ6CFyDYnK,https://i.scdn.co/image/ab676161000051746d1daa6e2f56044b0a995382,101687,2852135,0,"['pop punk', 'female vocalists', 'pop rock', 'seen live', 'pop']","Honey Revenge are a pop rock band creating a buzz out of Los Angeles, CA. The debut single 'Miss Me' exhibits the dichotomy of a complex, melodic core draped in rock influenced riffs that makes Honey Revenge a deadly-sweet but threatening treat. The band is Devin Papadol and Donovan Lloy. <a href=""https://www.last.fm/music/Honey+Revenge"">Read more on Last.fm</a>",upcoming_tour,2025-12-07,set(),Counter()
sleep theory,spotify:artist:26eBHxdouBH2KB7P6Oi9HN,[],1,12,2025-05-16,2025-05-16,68,321820,0,https://open.spotify.com/artist/26eBHxdouBH2KB7P6Oi9HN,https://i.scdn.co/image/ab6761610000517434577c2bdff9becc8e201bc4,116748,2487918,0,"['alternative metal', 'metalcore', 'metal', 'electronic', 'seen live']","From metalcore-like breakdowns to bluesy grooves, all brought together by a pop sensibility that’s pushed the band into sudden stardom, Sleep Theory formed officially in 2020 with their blend of metal, R&B, and pop has already made Sleep Theory a local sensation. “Another Way,” the band’s debut single, has amassed over 1.5 million streams across all platforms and is as promising of a start as a young band could ask for.
Since retiring from the US Army several years ago <a href=""https://www.last.fm/music/Sleep+Theory"">Read more on Last.fm</a>",upcoming_tour,2025-09-07,set(),Counter()
acid bath,spotify:artist:3n5jeTRWZEbTPJWyHSYUqn,"['sludge metal', 'stoner metal', 'doom metal', 'drone metal']",4,49,2010-07-06,1994,55,318082,0,https://open.spotify.com/artist/3n5jeTRWZEbTPJWyHSYUqn,https://i.scdn.co/image/ab67616d00001e02b7e60bf3437eff4ac464195d,312540,13857387,0,"['Sludge', 'doom metal', 'sludge metal', 'stoner metal', 'metal']","Acid Bath are an American metal band from Houma, Louisiana that formed in 1991. They released their breakout debut When the Kite String Pops in 1994, which was then followed by their sophomore and final album, Paegan Terrorism Tactics, in 1996. The band later broke up in 1997 after the passing of bassist Audie Pitre in a traffic collision. 

Their music is often regarded as hard to label under one certain genre. While sweeping across many sounds, Acid Bath put out two records of considerable influence <a href=""https://www.last.fm/music/Acid+Bath"">Read more on Last.fm</a>",upcoming_tour,2025-08-16,set(),Counter()
yngwie malmsteen,spotify:artist:5DpSoH5zCXNRqYai7pmcGG,"['neoclassical', 'power metal', 'heavy metal', 'glam metal']",31,285,2025-04-25,1997,52,466487,0,https://open.spotify.com/artist/5DpSoH5zCXNRqYai7pmcGG,https://i.scdn.co/image/ab676161000051747f0176061c3845bcfc2deeb7,469983,12197500,0,"['guitar virtuoso', 'heavy metal', 'Power metal', 'metal', 'guitar']","Yngwie Johann Malmsteen (born Lars Johan Yngve Lannerbäck, June 30, 1963) is a virtuoso guitarist / neo-classical metal artist from Sweden who achieved widespread acclaim in the 1980s for his technical proficiency and fusion of classical music elements with heavy rock guitar.

He has released music under Yngwie Malmsteen,  Yngwie J. Malmsteen and under Yngwie J. Malmsteen's Rising Force.

Born into a musical family in Stockholm, Yngwie was the youngest child in the family. <a href=""https://www.last.fm/music/Yngwie+Malmsteen"">Read more on Last.fm</a>",on_tour,2025-07-31,set(),Counter()
brand of sacrifice,spotify:artist:4d6Rawrese4OLF1zZCztod,"['deathcore', 'metalcore', 'death metal', 'metal']",2,22,2021-03-05,2019-07-05,51,213923,0,https://open.spotify.com/artist/4d6Rawrese4OLF1zZCztod,https://i.scdn.co/image/ab676161000051740fcf3ab9c4f663f516ecd2ca,125668,3904845,0,"['deathcore', 'Technical Deathcore', 'brutal deathcore', 'death metal', 'Progressive deathcore']","Brand of Sacrifice is a deathcore band from Toronto and Manhattan, featuring members from The Afterimage and Ascariasis, formed in 2018. As an extreme music entity, they are unusual; their raison d'être is based on the cult anime/manga series Berserk. Lead vocalist Kyle Anderson describes their music as ""the death metal of anime."" Their sonic approach employs tenets of hardcore and technical death metal with dual guitars, blastbeat drums, and guttural vocals. <a href=""https://www.last.fm/music/Brand+of+Sacrifice"">Read more on Last.fm</a>",upcoming_tour,2025-09-28,set(),Counter()
good charlotte,spotify:artist:5aYyPjAsLj7UzANzdupwnS,"['pop punk', 'punk', 'emo']",9,129,2018-09-14,2001-01-14,68,2791712,0,https://open.spotify.com/artist/5aYyPjAsLj7UzANzdupwnS,https://i.scdn.co/image/ab67616100005174c4d383def970a8566db1cd2a,2403167,61772678,14,"['punk rock', 'pop punk', 'rock', 'punk', 'alternative']","Good Charlotte is an American pop punk band from Waldorf, Maryland that formed in 1996. Since 1998, the band's constant members have been lead vocalist Joel Madden, rhythm guitarist and back-up vocalist Benji Madden, bass guitarist Paul Thomas, and lead guitarist and keyboardist Billy Martin. Their latest drummer and percussionist is Dean Butterworth, who has been a member of the band since 2005. The band has released seven studio albums: Good Charlotte (2000) <a href=""https://www.last.fm/music/Good+Charlotte"">Read more on Last.fm</a>",on_tour,2025-07-23,set(),Counter()
black veil brides,spotify:artist:6O7MpKrY91vlCd4Osi6XKs,"['emo', 'screamo']",10,138,2021-10-29,2010-07-20,64,2088690,0,https://open.spotify.com/artist/6O7MpKrY91vlCd4Osi6XKs,https://i.scdn.co/image/ab676161000051742f603df69ba8f1a6f1b7b4a9,735768,28077588,0,"['post-hardcore', 'screamo', 'rock', 'Gothic Glam', 'emo']","Black Veil Brides are an American post-hardcore band based out of Hollywood, California and formed in 2006 in Cincinnati, Ohio . The group is composed of Andy Biersack (vocals), Lonny Eagleton (bass), Jake Pitts (lead guitar), Jinxx (guitar, violin) and Christian (CC) Coma (drums). Released on StandBy Records, the band's debut album, We Stitch These Wounds was released in July 2010 and sold nearly 100,000 copies in its first week, ranking at #36 on the Billboard Top 200 chart, and #1 on the Billboard Independent chart. <a href=""https://www.last.fm/music/Black+Veil+Brides"">Read more on Last.fm</a>",not_touring,,set(),Counter()
archers,spotify:artist:5aJJUTEzIbxdogCW6Qpire,['metalcore'],1,7,2015-08-31,2015-08-31,54,69150,0,https://open.spotify.com/artist/5aJJUTEzIbxdogCW6Qpire,https://i.scdn.co/image/ab676161000051743cb7d45c6928906760f73dc9,49089,765771,0,"['metalcore', 'post-hardcore', 'seen live', 'punk', 'television']","Hailing from Madison, WI, ARCHERS emerged in 2015 after being founded by guitarist Ben Koehler, and vocalist Nathanael Pulley. Since releasing their debut EP Cuts & Bruises, the band has been anything but dormant. The past 5 years the band has toured regionally, and performed alongside well known bands such as I Prevail, Palisades, and From Ashes To New.

The band broke onto the national scene with their metalcore cover of “The Hills” by The Weeknd, which has racked up nearly two million streams to date. <a href=""https://www.last.fm/music/Archers"">Read more on Last.fm</a>",on_tour,2025-07-15,set(),Counter()
gwar,spotify:artist:3dnH7fdVm2X07MK6Fkbhbt,"['thrash metal', 'metal']",22,270,2023-09-01,1991,47,252790,0,https://open.spotify.com/artist/3dnH7fdVm2X07MK6Fkbhbt,https://i.scdn.co/image/ab67616100005174f20d5529b5d920cf95df7b88,215075,6193186,0,"['thrash metal', 'seen live', 'metal', 'heavy metal', 'punk']","GWAR is a satirical thrash metal/punk band formed in 1985-1986 by a group of artists and musicians at Virginia Commonwealth University in Richmond, Virginia. The band is perhaps best known for their elaborate sci-fi/horror film inspired costumes, raunchy lyrics, and graphic stage performances, which can consist of scatology, sadomasochism, necrophilia, pedo-necrophilia, beastio-necrophilia, fire dancing, fake pagan rituals, mock executions/mutilations, and other controversial violent and political themes. <a href=""https://www.last.fm/music/GWAR"">Read more on Last.fm</a>",on_tour,2025-07-24,set(),Counter()
