name,uri,genres,albums,tracks,last_album_date,first_album_date,popularity,followers,playlist_count,spotify_url,image_320,lastfm_listeners,lastfm_playcount,personal_playcount,lastfm_tags,summary,tour_status,tour_date,tour_coperformers,festival_coperformers
fulci,spotify:artist:5rK5iEoGaC5LtoBCiXpCet,"['death metal', 'grindcore']",5,60,2024-08-09,2017-01-09,41,51648,0,https://open.spotify.com/artist/5rK5iEoGaC5LtoBCiXpCet,https://i.scdn.co/image/ab67616100005174714877ce49ad7ee1ca91b1e7,48745,1112350,0,"['Brutal Death Metal', 'death metal', 'drone', 'drone doom', 'Italy']","Formed in: 2013, Italy, Caserta, Campania. We were born in 2014 publishing our first demo tape. Since the beginning, Fulci was intended to be a death metal tribute to the master of gore Lucio Fulci. 

In 2015 we released our first album “Opening The Hell Gates”, based on the movie “City of the Living Dead”.
Our live show includes visual, film audio samples, synth and when possible also lights to create a theatrical scenario. We use a drum machine (for choice), audio samples from the movies and synth. <a href=""https://www.last.fm/music/Fulci"">Read more on Last.fm</a>",upcoming_tour,2025-09-15,set(),Counter()
nonpoint,spotify:artist:6BdSOHfQ6kMg0tbAFlXR1z,"['nu metal', 'rap metal', 'alternative metal']",16,223,2019-12-25,1997-04-01,56,531027,0,https://open.spotify.com/artist/6BdSOHfQ6kMg0tbAFlXR1z,https://i.scdn.co/image/ab676161000051748dbec2d3f9fe7954c483606f,622585,10124525,0,"['Nu Metal', 'metal', 'hard rock', 'rock', 'Nu-metal']","Nonpoint is a nu metal band from Fort Lauderdale, Florida, formed in January 1998 by vocalist Elias Soriano, bassist Kenneth ""KB"" Charman and drummer Robb Rivera.

     The band created a name for itself in the burgeoning South Florida metal scene of the mid-late '90s. Other notable bands to emerge included Puya, Endo, Darwin's Waiting Room, Lost and The Groovenics.

Nonpoint's first album Separate Yourself was released independently in 1998. The band's first commercially released album Struggle was released on May 18 <a href=""https://www.last.fm/music/Nonpoint"">Read more on Last.fm</a>",upcoming_tour,2025-08-10,set(),Counter()
invent animate,spotify:artist:3ALVPmg5sZexSVD2m9atEt,"['djent', 'metalcore', 'progressive metal', 'deathcore', 'metal', 'post-hardcore']",9,103,2024-08-23,2014-08-22,53,174609,0,https://open.spotify.com/artist/3ALVPmg5sZexSVD2m9atEt,https://i.scdn.co/image/ab67616100005174aa2eb4e40b025830f5e7ab3b,104373,8052326,15,"['metalcore', 'Progressive Metalcore', 'DJENT', 'Progressive metal', 'seen live']","Hometown: Port Neches, TX
Genre: Progressive Metalcore / Djent
http://www.facebook.com/inventanimate
Members: 
Trey Celaya - Drums
Marcus Vik - Vocals
Keaton Goldwire - Guitar
Caleb Sherraden - Bass

Bursting out the scene from Port Neches, Texas comes Invent Animate. A 5 piece metalcore band simply doing what they love. With a different style than most metalcore bands, Invent Animate is bringing a fresh new sound to the scene. Come on out and support! <a href=""https://www.last.fm/music/Invent+Animate"">Read more on Last.fm</a>",upcoming_tour,2025-09-06,set(),Counter()
hawthorne heights,spotify:artist:126FigDBtqwS2YsOYMTPQe,"['emo', 'screamo', 'post-hardcore', 'pop punk']",18,227,2024-11-08,2004,56,553497,0,https://open.spotify.com/artist/126FigDBtqwS2YsOYMTPQe,https://i.scdn.co/image/ab67616100005174ec6c4aca4f74d2aca483c34f,835582,18067176,0,"['emo', 'screamo', 'rock', 'alternative', 'seen live']","Formed in Dayton, Ohio in 2001. Playing from the start on self-booked tours across the country gave them some initial national exposure, but they weren't signed to Victory Records until late 2003.

Hawthorne Heights developed a huge MySpace following that became a catalyst that would launch them from underground to international awareness. The band became regulars on MTV, their signature hit Ohio Is For Lovers the anthem for the new wave of “emo”. <a href=""https://www.last.fm/music/Hawthorne+Heights"">Read more on Last.fm</a>",not_touring,,set(),Counter()
too close to touch,spotify:artist:2XziUthG3Ug3eiWuE5KRsp,"['post-hardcore', 'metalcore']",3,30,2024-03-08,2015-03-24,54,195843,0,https://open.spotify.com/artist/2XziUthG3Ug3eiWuE5KRsp,https://i.scdn.co/image/ab67616100005174054361a8148cff752933f0e5,171872,5315985,793,"['post-hardcore', 'alternative rock', 'alternative', 'rock', 'american']","Too Close to Touch was an American alternative rock/post-hardcore band from Lexington, Kentucky, United States, formed in 2013. Both their debut EP, Too Close to Touch, and their debut full-length, Nerve Endings, were released through Epitaph. A year later, the band released their second full-length album,  Haven't Been Myself.
On March 26, 2022, it was announced that lead singer Keaton Pierce had passed away. To preserve his legacy, on March 8, 2024, the band released their third and final album For Keeps. <a href=""https://www.last.fm/music/Too+Close+To+Touch"">Read more on Last.fm</a>",not_touring,,set(),Counter()
polaris,spotify:artist:0v2e0oznnTaIXKLGKHphfX,"['metalcore', 'djent', 'metal', 'deathcore', 'post-hardcore']",5,53,2023-09-01,2017-11-03,61,380309,0,https://open.spotify.com/artist/0v2e0oznnTaIXKLGKHphfX,https://i.scdn.co/image/ab676161000051748cc500e7483d02c27f89a12e,427700,16500140,11,"['metalcore', 'indie', 'alternative', 'indie rock', 'japanese']","There are numerous bands named Polaris.
1. An alt metal/djent band from Australia
2. An indie rock band from the United States
3. A punk band from England
4. A rock band from Japan
5. A DJ and producer from France
6. An electronic project from Poland
7. a post-hardcore band from the United Kingdom
8. an indie rock band from Argentina
9. A power metal band from France
10. A techno band from Spain
11. A project of musician Neil Sutherland
12. A thrash metal band from Brazil <a href=""https://www.last.fm/music/Polaris"">Read more on Last.fm</a>",not_touring,,set(),Counter()
trivium,spotify:artist:278ZYwGhdK6QTzE3MFePnP,"['metalcore', 'metal', 'heavy metal']",17,229,2021-10-08,2003-10-14,63,1677639,0,https://open.spotify.com/artist/278ZYwGhdK6QTzE3MFePnP,https://i.scdn.co/image/ab67616100005174e3d54be763612bdcf50e56eb,1245919,70144955,0,"['metalcore', 'thrash metal', 'metal', 'seen live', 'heavy metal']","Trivium is a metal band which formed in Orlando, Florida, United States in 1999. The band currently consists of Matt Heafy (vocals, guitar), Corey Beaulieu (guitar), Paolo Gregoletto (bass) and Alex Bent (drums). Heafy is the band's only remaining original member. Since their formation, the band has released ten studio albums. Their most recent album, ""
In The Court Of The Dragon "", was released on October 8, 2021. 

Trivium crosses multiple heavy metal genres such as thrash metal, alternative metal, groove metal, and heavy metal. <a href=""https://www.last.fm/music/Trivium"">Read more on Last.fm</a>",upcoming_tour,2025-08-10,set(),Counter()
scowl,spotify:artist:6hW33nVHPElaXuG2hQ0QOp,"['hardcore punk', 'riot grrrl', 'hardcore']",2,21,2025-04-04,2021-11-19,49,101065,0,https://open.spotify.com/artist/6hW33nVHPElaXuG2hQ0QOp,https://i.scdn.co/image/ab676161000051741abc915779d3446471fa4adf,124428,2504458,0,"['hardcore', 'hardcore punk', 'seen live', 'punk', 'grindcore']","There are at least three bands named Scowl:

1) Santa Cruz Hardcore

Cole Gilbert – drums (2019–present)
Malachi Greene – guitar (2019–present)
Bailey Lupo – bass (2019–present)
Kat Moss – vocals (2019–present)
Mikey Bifolco – guitar (2023–present; touring 2022)

https://www.scowl40831.com

2)  Speed Ritual Records Grind/Deathgrind entity
https://speedritualrecords.bandcamp.com/album/scowl-impetus-ex-caenum

3) A Brooklyn based grindcore band started in 2011. <a href=""https://www.last.fm/music/Scowl"">Read more on Last.fm</a>",on_tour,2025-07-17,set(),Counter()
a perfect circle,spotify:artist:4DFhHyjvGYa9wxdHUjtDkc,['alternative metal'],8,102,2018-04-20,2000-01-01,66,2024401,0,https://open.spotify.com/artist/4DFhHyjvGYa9wxdHUjtDkc,https://i.scdn.co/image/ab6761610000517441472573351dfea479a4ffba,1998130,97324514,0,"['alternative rock', 'Progressive rock', 'rock', 'alternative', 'metal']","A Perfect Circle is an American alternative rock band formed in Los Angeles, California in 1999 by guitarist Billy Howerdel and Tool vocalist Maynard James Keenan. A Perfect Circle has released four studio albums, the first three during the early 2000s: Mer de Noms, their debut album in 2000, and followed up by Thirteenth Step in 2003; then in 2004, Emotive—an album of radically re-worked cover songs. Shortly after Emotive's release, the band went on hiatus; Keenan returned to Tool and started up solo work under the band name Puscifer <a href=""https://www.last.fm/music/A+Perfect+Circle"">Read more on Last.fm</a>",not_touring,,set(),Counter()
story of the year,spotify:artist:0KDuKk6YdEu3hR56HtXmxt,"['emo', 'post-hardcore', 'screamo', 'pop punk']",8,97,2023-03-10,2003-09-16,58,550649,0,https://open.spotify.com/artist/0KDuKk6YdEu3hR56HtXmxt,https://i.scdn.co/image/ab676161000051741ac582762e74510cfd6ef254,1081153,25813751,0,"['post-hardcore', 'rock', 'emo', 'alternative', 'screamo']","Story of the Year is a post-hardcore/alternative rock band from St. Louis, Missouri originally formed in 1995.

The band consists of vocalist Dan Marsala, lead guitarist Ryan Phillips, rhythm guitarist and back up vocalist Philip Sneed, bassist Adam Russell and drummer Josh Wills. Initially named Big Blue Monkey, they changed their name to Story of the Year in 2002 because a blues group of the same name had already existed.

It would not be until <a href=""https://www.last.fm/music/Story+of+the+Year"">Read more on Last.fm</a>",on_tour,2025-07-30,set(),Counter()
